,Chart 1,,,,,Additional Spectral Analyses,,,,,,,,,
,6.19.2019,6.24.2019,6.30.2019,,,6.19.2019,6.19.2019,6.19.2019,6.19.2019,6.24.2019,6.24.2019,6.24.2019,6.24.2019,6.34.2019,6.30.2019
,cannonballpigmenteddome,Polyps6.21.2019,ephyrae test 1,,,brine shrimp,cannonballtopdome,phytoplex,seppac phytoplex,phytoplex 6.21.2019,Sep-Pak filtered phytoplex 6.21.2109,Sep-Pak filtered phytoplex 6.21.2019 without H2O step,Sep-Pak filtered phytoplex 6.21.2019 5 mL H2O,Sep-Pak filtered phytoplex 6.21.2019 replicate,ephyrae test2
wavelength,abs,Abs,abs,,,abs,abs,abs,abs,Abs,Abs,Abs,Abs,Abs,abs
361,0.002,0.005,-0.001,,,0.064,0.004,0.245,0.102,1.001,0.064,0.148,0.079,0.065,0.001
362,0.002,0.006,-0.001,,,0.065,0.004,0.249,0.103,1.015,0.065,0.15,0.08,0.066,0.001
363,0.002,0.006,-0.001,,,0.065,0.004,0.253,0.103,1.03,0.066,0.153,0.081,0.067,0.001
364,0.002,0.006,-0.001,,,0.065,0.004,0.257,0.103,1.045,0.067,0.155,0.082,0.068,0.001
365,0.002,0.005,-0.001,,,0.065,0.004,0.262,0.103,1.061,0.068,0.157,0.083,0.069,0.001
366,0.001,0.005,-0.001,,,0.065,0.003,0.265,0.103,1.077,0.07,0.159,0.084,0.07,0.001
367,0.001,0.005,-0.002,,,0.066,0.003,0.269,0.103,1.094,0.07,0.162,0.085,0.071,0.001
368,0.001,0.005,-0.002,,,0.066,0.003,0.273,0.103,1.11,0.072,0.164,0.087,0.072,0.001
369,0.001,0.005,-0.002,,,0.066,0.003,0.277,0.103,1.127,0.073,0.167,0.088,0.073,0.001
370,0.001,0.005,-0.002,,,0.066,0.003,0.281,0.103,1.144,0.074,0.169,0.089,0.075,0
371,0.001,0.005,-0.002,,,0.067,0.002,0.285,0.104,1.161,0.075,0.173,0.091,0.075,0
372,0.001,0.005,-0.002,,,0.068,0.002,0.289,0.104,1.178,0.076,0.175,0.092,0.077,0
373,0.001,0.004,-0.002,,,0.069,0.002,0.292,0.105,1.196,0.077,0.178,0.094,0.078,0
374,0,0.004,-0.002,,,0.069,0.003,0.296,0.105,1.215,0.078,0.182,0.096,0.079,0
375,0,0.004,-0.002,,,0.07,0.003,0.3,0.105,1.233,0.08,0.185,0.097,0.081,0
376,0,0.004,-0.002,,,0.071,0.003,0.304,0.106,1.252,0.081,0.188,0.099,0.082,0
377,0,0.004,-0.002,,,0.071,0.002,0.308,0.106,1.271,0.082,0.191,0.1,0.083,0
378,0,0.004,-0.002,,,0.071,0.002,0.313,0.106,1.29,0.084,0.194,0.101,0.085,-0.001
379,0,0.004,-0.002,,,0.071,0.002,0.317,0.106,1.311,0.086,0.198,0.103,0.086,-0.001
380,0,0.004,-0.002,,,0.071,0.002,0.322,0.106,1.331,0.087,0.201,0.105,0.088,-0.001
381,0,0.004,-0.002,,,0.071,0.002,0.327,0.106,1.351,0.088,0.204,0.107,0.089,-0.001
382,0.001,0.004,-0.002,,,0.071,0.002,0.332,0.106,1.371,0.09,0.207,0.108,0.09,-0.001
383,0.001,0.004,-0.002,,,0.072,0.003,0.337,0.107,1.391,0.091,0.21,0.11,0.092,0
384,0.001,0.004,-0.002,,,0.072,0.002,0.341,0.107,1.41,0.092,0.213,0.112,0.093,0
385,0.001,0.004,-0.002,,,0.071,0.003,0.347,0.107,1.43,0.093,0.216,0.114,0.094,0
386,0.001,0.004,-0.002,,,0.071,0.002,0.352,0.107,1.45,0.094,0.219,0.115,0.096,0
387,0.001,0.004,-0.002,,,0.071,0.003,0.357,0.107,1.469,0.095,0.222,0.116,0.097,0
388,0.001,0.004,-0.002,,,0.072,0.002,0.363,0.107,1.489,0.096,0.225,0.117,0.098,0
389,0.001,0.004,-0.002,,,0.072,0.002,0.368,0.107,1.508,0.098,0.228,0.119,0.099,0
390,0.001,0.004,-0.002,,,0.072,0.002,0.374,0.107,1.526,0.1,0.23,0.12,0.101,-0.001
391,0.002,0.004,-0.002,,,0.072,0.002,0.379,0.107,1.545,0.102,0.233,0.122,0.102,0
392,0.002,0.004,-0.002,,,0.071,0.001,0.385,0.107,1.564,0.102,0.236,0.123,0.103,0
393,0.001,0.005,-0.002,,,0.071,0.002,0.39,0.107,1.582,0.104,0.239,0.125,0.104,0
394,0.001,0.005,-0.002,,,0.071,0.002,0.396,0.107,1.601,0.104,0.241,0.126,0.105,0
395,0.002,0.005,-0.002,,,0.071,0.002,0.402,0.108,1.619,0.104,0.243,0.128,0.107,0
396,0.001,0.005,-0.002,,,0.071,0.002,0.408,0.108,1.638,0.105,0.246,0.128,0.108,0
397,0.001,0.005,-0.002,,,0.072,0.002,0.413,0.108,1.656,0.107,0.249,0.13,0.109,0
398,0.001,0.005,-0.002,,,0.071,0.002,0.419,0.108,1.674,0.108,0.252,0.131,0.111,0
399,0.001,0.005,-0.002,,,0.072,0.002,0.425,0.108,1.692,0.109,0.255,0.133,0.111,-0.001
400,0.001,0.005,-0.002,,,0.071,0.002,0.43,0.109,1.708,0.11,0.257,0.134,0.112,0
